name,year,total_population,white_alone,black_alone,asian_alone,two_or_more_races,hispanic_latino,german,irish,english,mexican,indian,chinese,vietnamese,french,italian,korean,place_fips,county,city
"Dallas city, Texas",2009,1269204,713898,291510,32264,21161,537501,711,189,5473,17316,64813,42,563,423,56,11030,19000,Dallas,Dallas city
"Dallas city, Texas",2010,1187285,645420,292577,33029,20778,493817,571,180,4910,15251,57324,35,761,444,64,10063,19000,Dallas,Dallas city
"Dallas city, Texas",2011,1196258,658119,293675,33330,22605,501663,619,119,4769,14351,55668,25,857,512,56,9974,19000,Dallas,Dallas city
"Dallas city, Texas",2012,1207202,673957,296816,34791,24429,507405,697,97,4644,13927,56291,0,676,383,111,9673,19000,Dallas,Dallas city
"Dallas city, Texas",2013,1222167,686694,299642,36540,26404,512077,650,130,4610,14293,55087,0,770,365,70,9901,19000,Dallas,Dallas city
"Dallas city, Texas",2014,1240985,721816,304903,37261,27053,517901,674,145,4716,14832,54946,16,1080,310,85,10178,19000,Dallas,Dallas city
"Dallas city, Texas",2015,1260688,756302,307335,38392,28988,526022,593,156,5147,14803,54924,15,1019,304,88,10462,19000,Dallas,Dallas city
"Dallas city, Texas",2016,1278433,779792,313906,41795,31637,530277,582,166,5490,15132,53832,33,1255,233,84,10955,19000,Dallas,Dallas city
"Dallas city, Texas",2017,1300122,802952,316191,43683,33696,541665,564,179,5818,15262,53139,32,1801,333,42,10894,19000,Dallas,Dallas city
"Dallas city, Texas",2018,1318806,824648,319834,44521,32924,550394,675,200,6959,14804,52880,34,1608,404,61,10650,19000,Dallas,Dallas city
"Dallas city, Texas",2019,1330612,833795,323051,45170,32195,556296,774,177,7630,14917,52585,20,1850,453,47,10864,19000,Dallas,Dallas city
"Dallas city, Texas",2020,1338846,773172,325324,48320,85333,555405,699,162,6873,14244,55209,18,2141,377,48,11358,19000,Dallas,Dallas city
"Dallas city, Texas",2021,1300239,699417,312696,45584,120895,545846,550,100,6080,13850,54298,6,2336,434,53,10745,19000,Dallas,Dallas city
"Dallas city, Texas",2022,1300642,626150,307086,47544,169819,551447,484,120,6397,13891,56280,6,2242,503,58,10884,19000,Dallas,Dallas city
"Fort Worth city, Texas",2009,679077,428357,121972,22999,12864,224835,292,47,1841,12271,50139,0,468,234,52,6615,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2010,705349,441881,131310,24323,14170,233999,288,39,1934,12780,52236,0,560,219,55,7162,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2011,724699,464234,136653,25591,15680,243676,306,29,2111,13036,53365,0,595,175,39,7151,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2012,743865,484721,139743,27377,17039,252656,455,28,2092,12385,53165,31,621,257,36,7517,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2013,761092,491352,144592,26641,19699,260349,502,32,3111,12344,54753,50,797,342,46,7728,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2014,778573,508894,147471,28984,22403,266472,487,62,3450,12990,56096,55,869,442,29,7738,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2015,796614,525736,150549,30883,24504,273582,494,57,3607,12985,56396,59,726,498,26,8319,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2016,815930,531736,156413,31328,26804,278125,474,65,3854,12076,56050,58,955,585,57,7662,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2017,835129,537562,156610,32541,28523,290354,301,77,4397,12345,56680,29,1005,583,126,8006,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2018,855786,548241,162436,35684,28580,299625,284,69,4647,12834,55292,0,1016,519,80,7531,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2019,874401,557509,165302,39888,27906,306888,333,25,5450,12426,52224,0,962,290,68,7852,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2020,892221,535854,165406,43134,54143,313077,490,105,5094,12832,56768,18,965,291,77,8646,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2021,908469,507373,170378,44190,78251,320504,558,120,5380,13589,55372,15,847,170,121,8757,27000,Tarrant,Fort Worth city
"Fort Worth city, Texas",2022,924663,479402,177635,45247,114894,325185,696,118,5247,13745,56107,16,1269,39,13,7969,27000,Tarrant,Fort Worth city
"Arlington city, Texas",2009,370217,231718,64523,24092,8706,95714,192,18,1683,7172,32249,10,466,71,23,4550,4000,Tarrant,Arlington city
"Arlington city, Texas",2010,359410,224400,67797,24887,8460,95452,190,20,1509,6592,30767,10,447,106,20,3822,4000,Tarrant,Arlington city
"Arlington city, Texas",2011,363933,229905,68688,26839,8624,101189,218,20,1418,5806,31446,11,400,84,19,4063,4000,Tarrant,Arlington city
"Arlington city, Texas",2012,367154,236331,70899,26481,7906,102821,213,31,1323,5296,31912,11,546,73,11,3879,4000,Tarrant,Arlington city
"Arlington city, Texas",2013,371267,242501,72139,26868,8780,104724,184,31,1549,5183,30346,0,630,73,0,3674,4000,Tarrant,Arlington city
"Arlington city, Texas",2014,375305,247879,74303,26430,9912,107603,112,39,1769,5460,29160,0,186,83,0,3767,4000,Tarrant,Arlington city
"Arlington city, Texas",2015,379716,248323,76783,27912,10276,108482,124,17,1607,5531,28030,0,263,38,39,3516,4000,Tarrant,Arlington city
"Arlington city, Texas",2016,383899,249563,79719,26620,10695,110039,119,11,1884,5707,26785,0,302,50,46,2973,4000,Tarrant,Arlington city
"Arlington city, Texas",2017,388225,244490,85023,26689,11948,112283,124,8,2033,5916,25288,0,287,77,50,2923,4000,Tarrant,Arlington city
"Arlington city, Texas",2018,392462,241278,88136,27048,12132,114595,166,46,2202,6038,23249,0,361,63,55,2612,4000,Tarrant,Arlington city
"Arlington city, Texas",2019,395477,236973,89957,25916,12463,116902,214,36,2408,6044,22246,10,343,71,38,3233,4000,Tarrant,Arlington city
"Arlington city, Texas",2020,397269,222771,90957,26287,23726,116070,238,30,2594,5740,22067,9,373,61,9,2751,4000,Tarrant,Arlington city
"Arlington city, Texas",2021,392304,203741,89682,26192,36378,117458,258,33,2447,5586,21672,9,421,136,7,3017,4000,Tarrant,Arlington city
"Arlington city, Texas",2022,393469,184657,89659,28531,53802,117877,264,33,2413,5288,21791,10,429,201,9,2731,4000,Tarrant,Arlington city
"Plano city, Texas",2009,261902,194447,16104,39043,4053,36339,381,19,1770,6948,28474,13,219,131,71,4825,58016,Collin,Plano city
"Plano city, Texas",2010,256099,184286,17585,41541,4738,38269,413,20,1431,6560,26087,8,276,80,51,4677,58016,Collin,Plano city
"Plano city, Texas",2011,260197,185948,17586,43566,5939,37937,383,32,1637,6299,25737,44,180,81,76,4579,58016,Collin,Plano city
"Plano city, Texas",2012,263122,184632,18712,46916,7113,39562,275,33,1717,5766,24475,36,189,82,76,4312,58016,Collin,Plano city
"Plano city, Texas",2013,266740,186058,18875,48465,7304,38818,326,10,1725,5849,23206,32,230,76,92,4844,58016,Collin,Plano city
"Plano city, Texas",2014,271166,186698,20308,49298,8284,39823,292,38,1702,5452,23330,41,252,185,22,4899,58016,Collin,Plano city
"Plano city, Texas",2015,275645,187575,21750,52721,7616,39278,252,66,1644,5358,22575,39,330,184,20,5321,58016,Collin,Plano city
"Plano city, Texas",2016,279088,189114,22350,53335,8134,41249,207,71,1758,6398,21455,0,277,191,32,5632,58016,Collin,Plano city
"Plano city, Texas",2017,281566,188719,23353,54597,8239,40907,263,69,2027,6657,20488,0,310,333,38,6056,58016,Collin,Plano city
"Plano city, Texas",2018,284579,186789,23858,58044,8624,43310,208,120,2241,6716,20309,0,398,269,64,5351,58016,Collin,Plano city
"Plano city, Texas",2019,287064,186992,24612,60851,8085,43098,266,110,2564,6218,19675,0,442,67,38,5466,58016,Collin,Plano city
"Plano city, Texas",2020,288870,178335,24961,62887,16291,43289,254,136,2322,5838,20035,0,323,62,34,5526,58016,Collin,Plano city
"Plano city, Texas",2021,282181,165606,24292,62879,20441,44480,264,128,2088,5187,19067,0,315,54,18,4665,58016,Collin,Plano city
"Plano city, Texas",2022,284948,158292,25697,64625,26206,44397,176,156,1794,5294,19470,44,290,91,18,4120,58016,Collin,Plano city
"Garland city, Texas",2009,217317,112283,29420,20994,8718,80542,124,0,531,2837,15373,0,398,33,0,1815,29000,Dallas,Garland city
"Garland city, Texas",2010,222962,111654,31554,21871,9989,80254,100,0,491,2498,15483,0,445,103,0,1947,29000,Dallas,Garland city
"Garland city, Texas",2011,225424,107894,32415,21188,12463,84591,104,17,454,2717,15232,0,344,87,0,2172,29000,Dallas,Garland city
"Garland city, Texas",2012,227641,104515,30488,23074,14134,88642,101,19,451,2773,14862,0,230,93,0,1859,29000,Dallas,Garland city
"Garland city, Texas",2013,230177,103574,31007,23956,14555,90288,36,22,507,2660,14196,0,339,86,0,1798,29000,Dallas,Garland city
"Garland city, Texas",2014,232305,110112,30484,24943,13645,93052,29,28,611,2639,13870,0,116,91,0,1664,29000,Dallas,Garland city
"Garland city, Texas",2015,234213,120080,30518,24634,12745,96233,57,26,693,2590,14408,0,191,40,0,1699,29000,Dallas,Garland city
"Garland city, Texas",2016,234810,130743,32283,24935,10929,97353,40,13,700,2578,13146,0,218,32,0,1313,29000,Dallas,Garland city
"Garland city, Texas",2017,235965,141135,32251,25866,9294,97399,62,13,841,2566,13608,0,283,30,0,1355,29000,Dallas,Garland city
"Garland city, Texas",2018,237982,152039,33305,26453,8414,101885,74,15,818,2334,13587,0,242,37,0,1286,29000,Dallas,Garland city
"Garland city, Texas",2019,238418,152217,35482,26690,8271,101217,168,0,1042,2305,12656,0,293,73,0,1316,29000,Dallas,Garland city
"Garland city, Texas",2020,238622,139076,33949,26329,22185,105717,130,0,865,2338,11994,0,222,85,0,1177,29000,Dallas,Garland city
"Garland city, Texas",2021,245075,125999,36838,26652,36455,105721,164,0,788,2151,12426,0,228,96,22,1293,29000,Dallas,Garland city
"Garland city, Texas",2022,244026,107362,38113,26571,50475,108506,144,0,767,2004,11182,0,315,78,22,1307,29000,Dallas,Garland city
"Irving city, Texas",2009,197830,125528,21153,23248,3750,80079,309,9,676,2450,13479,0,104,64,37,1423,37000,Dallas,Irving city
"Irving city, Texas",2010,210025,128276,24998,27581,4093,85171,373,0,628,2531,13068,0,122,57,25,1331,37000,Dallas,Irving city
"Irving city, Texas",2011,213400,125792,25772,30336,4821,86065,258,0,613,2294,11880,0,151,69,22,1473,37000,Dallas,Irving city
"Irving city, Texas",2012,217021,125434,26271,31469,5220,89400,276,13,611,2215,12373,0,234,14,20,1404,37000,Dallas,Irving city
"Irving city, Texas",2013,220856,128569,28773,32094,5683,89561,233,14,719,2009,12323,0,342,12,0,1230,37000,Dallas,Irving city
"Irving city, Texas",2014,224859,129835,28687,34309,6106,93745,130,17,755,2064,11690,0,413,12,0,1378,37000,Dallas,Irving city
"Irving city, Texas",2015,228776,126273,29209,38783,6037,93332,125,29,694,2027,10826,0,429,29,0,1673,37000,Dallas,Irving city
"Irving city, Texas",2016,232013,123967,30114,40064,6859,95794,125,28,644,2091,10991,0,390,20,0,1473,37000,Dallas,Irving city
"Irving city, Texas",2017,235648,125943,31446,42151,6995,99254,143,23,519,2208,9673,0,335,26,0,1586,37000,Dallas,Irving city
"Irving city, Texas",2018,238637,122339,31477,44244,6779,103091,143,29,625,2306,8754,0,347,37,0,1642,37000,Dallas,Irving city
"Irving city, Texas",2019,239783,114782,34157,47123,6623,101399,161,13,655,2102,7734,0,314,28,0,1561,37000,Dallas,Irving city
"Irving city, Texas",2020,240475,104617,33473,49277,16659,103776,322,0,539,2026,7661,0,242,11,0,1415,37000,Dallas,Irving city
"Irving city, Texas",2021,254184,103009,34506,54596,23467,109851,310,0,574,1957,7501,0,266,5,0,1326,37000,Dallas,Irving city
"Irving city, Texas",2022,254962,95737,33687,56750,28508,110121,266,0,650,2032,7628,0,254,3,0,1315,37000,Dallas,Irving city
"Grapevine city, Texas",2009,49249,42908,1259,1664,980,7469,110,0,371,1417,6097,0,15,0,0,1258,30644,Dallas,Grapevine city
"Grapevine city, Texas",2010,45548,39203,903,1876,1178,7155,83,24,310,1383,5730,0,9,0,0,1069,30644,Dallas,Grapevine city
"Grapevine city, Texas",2011,46152,39406,914,2005,1033,7106,107,29,312,1528,5933,0,67,0,0,877,30644,Dallas,Grapevine city
"Grapevine city, Texas",2012,46756,39473,730,1881,1254,9051,147,32,380,1407,5928,0,50,6,0,986,30644,Dallas,Grapevine city
"Grapevine city, Texas",2013,47688,39634,778,2294,1485,9516,81,35,358,1460,5948,0,36,6,23,896,30644,Dallas,Grapevine city
"Grapevine city, Texas",2014,48671,40763,937,2012,1556,9535,76,39,528,1349,6169,0,61,6,20,1003,30644,Dallas,Grapevine city
"Grapevine city, Texas",2015,49609,40614,1865,2019,1571,10945,54,0,407,1201,6056,0,56,67,14,965,30644,Dallas,Grapevine city
"Grapevine city, Texas",2016,50538,40635,1931,2880,1764,11453,52,0,468,1142,5799,0,22,72,8,911,30644,Dallas,Grapevine city
"Grapevine city, Texas",2017,51733,40954,2193,3766,1699,11040,58,0,520,978,5711,0,18,42,6,932,30644,Dallas,Grapevine city
"Grapevine city, Texas",2018,52486,41917,2488,3139,1784,12037,64,0,658,1311,6041,0,20,73,0,1075,30644,Dallas,Grapevine city
"Grapevine city, Texas",2019,53317,42157,2838,3626,1687,11506,74,0,569,1355,5978,0,0,46,0,998,30644,Dallas,Grapevine city
"Grapevine city, Texas",2020,54151,41119,3186,3538,3125,12148,321,0,692,1884,5544,0,0,8,0,1109,30644,Dallas,Grapevine city
"Grapevine city, Texas",2021,50548,37431,3260,3560,3931,9917,283,0,655,1951,5282,0,127,0,0,1038,30644,Dallas,Grapevine city
"Grapevine city, Texas",2022,50763,36977,3265,3444,4812,9917,332,0,504,2022,4753,0,151,13,0,1163,30644,Dallas,Grapevine city
"McKinney city, Texas",2009,113606,91223,11933,3707,2411,20070,140,36,605,2967,12725,0,127,104,15,2280,45744,Collin,McKinney city
"McKinney city, Texas",2010,118652,95812,12930,3883,2491,20531,199,18,593,3607,12923,0,169,98,22,2491,45744,Collin,McKinney city
"McKinney city, Texas",2011,125098,100092,13038,5940,2362,23655,184,11,640,3461,13372,0,101,123,19,2314,45744,Collin,McKinney city
"McKinney city, Texas",2012,131882,105580,14000,6619,2535,24667,169,28,657,3863,14311,0,52,114,16,1897,45744,Collin,McKinney city
"McKinney city, Texas",2013,137643,109805,15612,6380,2966,26947,145,48,608,3748,14551,0,111,42,16,1758,45744,Collin,McKinney city
"McKinney city, Texas",2014,144066,114491,16527,6785,3395,27862,95,23,704,3856,15619,0,140,49,0,1655,45744,Collin,McKinney city
"McKinney city, Texas",2015,150064,118745,17054,7389,3458,28868,57,24,771,3520,16703,0,94,0,0,1752,45744,Collin,McKinney city
"McKinney city, Texas",2016,156821,123162,17689,8347,4142,29781,62,24,1097,4059,17520,0,128,0,0,2086,45744,Collin,McKinney city
"McKinney city, Texas",2017,164760,127353,18962,10177,4314,30281,106,21,1045,3946,17176,0,106,12,9,2590,45744,Collin,McKinney city
"McKinney city, Texas",2018,173460,132370,20049,11646,4965,31095,149,0,1404,4193,16648,0,93,34,10,3194,45744,Collin,McKinney city
"McKinney city, Texas",2019,182055,135851,21611,15339,5248,32001,219,26,1542,4040,14464,0,137,33,11,3085,45744,Collin,McKinney city
"McKinney city, Texas",2020,191197,136736,21318,17763,11443,34238,212,25,1661,4274,14548,0,144,29,10,3038,45744,Collin,McKinney city
"McKinney city, Texas",2021,189394,127336,22513,20343,14721,31946,260,29,1449,3788,13339,0,153,47,25,2980,45744,Collin,McKinney city
"McKinney city, Texas",2022,196160,126396,22921,23461,18150,33759,218,24,1491,3385,13191,0,136,96,19,2692,45744,Collin,McKinney city
"Mesquite city, Texas",2009,130751,90188,22772,4704,2212,36399,11,0,223,1556,7993,0,140,27,0,849,47892,Dallas,Mesquite city
"Mesquite city, Texas",2010,135921,87009,30273,5053,2842,37747,9,0,212,1372,7347,0,128,6,0,839,47892,Dallas,Mesquite city
"Mesquite city, Texas",2011,137966,91053,29331,4944,3156,41008,28,0,170,1475,7691,0,111,22,0,780,47892,Dallas,Mesquite city
"Mesquite city, Texas",2012,139615,90839,31824,4452,3405,44697,30,0,157,1298,7051,0,167,11,0,820,47892,Dallas,Mesquite city
"Mesquite city, Texas",2013,141201,92869,32604,4640,3342,47559,93,0,228,1203,7316,0,154,23,0,825,47892,Dallas,Mesquite city
"Mesquite city, Texas",2014,142552,94241,33766,4524,4026,49120,97,0,248,1215,7722,0,119,27,0,727,47892,Dallas,Mesquite city
"Mesquite city, Texas",2015,143584,94777,34032,4489,3866,52136,88,0,307,1384,7863,0,210,27,0,511,47892,Dallas,Mesquite city
"Mesquite city, Texas",2016,143771,94420,35385,4150,3802,54827,79,0,272,1245,7202,0,315,42,0,499,47892,Dallas,Mesquite city
"Mesquite city, Texas",2017,144118,93532,36091,4021,4548,56118,83,0,414,1405,7383,0,349,55,0,467,47892,Dallas,Mesquite city
"Mesquite city, Texas",2018,144250,91595,37489,4231,4937,58256,65,0,315,1310,6502,0,394,35,0,532,47892,Dallas,Mesquite city
"Mesquite city, Texas",2019,143456,90105,37335,4014,4856,59875,62,0,451,1394,6126,0,332,38,0,461,47892,Dallas,Mesquite city
"Mesquite city, Texas",2020,142429,79687,36012,4303,11524,60615,44,0,466,889,6076,0,191,33,0,508,47892,Dallas,Mesquite city
"Mesquite city, Texas",2021,149848,76796,35316,4164,18966,67458,29,0,519,937,6199,0,204,22,0,391,47892,Dallas,Mesquite city
"Mesquite city, Texas",2022,149439,68214,37169,3719,23354,66667,34,0,572,835,5760,0,142,27,0,401,47892,Dallas,Mesquite city
"Carrollton city, Texas",2009,123620,90318,8766,14908,2373,34797,198,38,639,2301,12337,0,110,83,0,1932,13024,Dallas,Carrollton city
"Carrollton city, Texas",2010,117712,83507,10477,15301,2631,32858,192,32,638,2024,10522,0,176,49,0,1718,13024,Dallas,Carrollton city
"Carrollton city, Texas",2011,119104,83878,10515,15482,3155,34701,137,44,599,2248,9878,0,124,26,0,1385,13024,Dallas,Carrollton city
"Carrollton city, Texas",2012,120727,85529,10836,15396,3689,35783,160,12,427,2319,10481,0,115,27,0,1536,13024,Dallas,Carrollton city
"Carrollton city, Texas",2013,122613,83557,11512,17186,3771,38176,184,9,429,2540,9374,0,190,19,0,1234,13024,Dallas,Carrollton city
"Carrollton city, Texas",2014,124501,85696,11267,17348,3537,40314,185,16,479,2345,9099,0,109,15,0,1202,13024,Dallas,Carrollton city
"Carrollton city, Texas",2015,127279,88698,10410,18309,3421,41498,194,19,477,2289,8962,0,71,12,0,1396,13024,Dallas,Carrollton city
"Carrollton city, Texas",2016,129266,89294,10845,19235,3372,41655,142,18,493,2175,8524,0,95,12,0,1592,13024,Dallas,Carrollton city
"Carrollton city, Texas",2017,131240,90912,12183,19031,3141,43912,123,17,457,2030,7749,0,106,15,0,1314,13024,Dallas,Carrollton city
"Carrollton city, Texas",2018,133438,93472,13304,19190,3155,44077,100,7,974,2048,7257,0,89,16,0,1414,13024,Dallas,Carrollton city
"Carrollton city, Texas",2019,135834,93724,13716,20504,3512,44413,107,20,1275,2111,7540,0,109,13,0,1412,13024,Dallas,Carrollton city
"Carrollton city, Texas",2020,137319,88903,13719,20804,8805,44654,100,24,1615,2084,8382,0,97,13,0,1241,13024,Dallas,Carrollton city
"Carrollton city, Texas",2021,131388,81181,12886,20129,11625,43116,89,34,1574,1992,7853,0,74,15,0,1253,13024,Dallas,Carrollton city
"Carrollton city, Texas",2022,132284,75800,13235,20473,15813,42191,64,51,1492,2396,8276,0,86,12,0,1511,13024,Dallas,Carrollton city
"Frisco city, Texas",2009,87712,71119,5251,6610,2094,11641,27,0,787,2187,10944,0,86,0,0,2367,27684,Collin,Frisco city
